id,display_name,display_name_alternatives,orcid
A5003388525,Blake LeBaron,Blake Lebaron; Blake D. LeBaron; B. Lebaron,https://orcid.org/0000-0003-4034-2139
A5062401066,Maurice Auslander,Auslander Maurice; M. Auslander; Maurice Auslander,
A5107861274,M. Kolb,M. Kolb,
A5108097619,T. Pauly,T. Pauly,
A5070466435,Daniel Ruberman,Daniel Ruberman,https://orcid.org/0000-0001-5126-6122
A5002597607,Donald B. Katz,Donald Katz; D. Katz; Donald B. Katz; D. B. Katz; Donald Brian Katz; Don Katz,https://orcid.org/0000-0002-8444-6063
A5018225782,Charles Kadushin,C. Kadushin; Charles Kadushin,
A5081296722,Richard Flynn,Richard Bernard Flynn; Richard B. Flynn; Richard Flynn; R Flynn,
A5071901479,Thomas C. Hollocher,Thomas C. Hollocher; T. Hollocher; T.C. Hollocher; T. C. HOLLOCHER,
A5090824055,Paul DiZio,P. Dizio; Paul A. Dizio; Paul Dizio,https://orcid.org/0000-0003-1083-8125
A5108346514,Anne Valentine,A. Valentine; Angie Valentine; A Z Valentine; Anne Valentine; A.S. Valentine,
A5109201483,Lorraine V. Klerman,Lorraine V. Klerman; L Klerman; L. V. Klerman; L. V Klerman; Lorraine Klerman,
A5109428990,Tay McNamara,Tay Mcnamara; Tay K. Mcnamara,
A5108381838,K.C. Hayes,K.C Hayes; K. C. Hayes,
A5003799623,Rhoda K. Unger,Rhoda K. Unger; R. Unger; Rhoda Unger; Rhoda Kesler Unger,
A5051947552,Nidhiya Menon,N.R. Ratish Menon; Nidhiya Menon; N Menon; N. Rajiv Menon,https://orcid.org/0000-0002-3871-1081
A5009313247,Peter C. Jordan,P.C.H. Jordan; Peter C. Jordan; P. C. Jordan; Peter Jordan,
A5059330672,David Shneer,David Shneer; D. Shneer,
A5107914585,C. Blocker,C. Blocker,
A5040170946,Geoffrey Tillotson,G.H.R. Tillotson; G. Tillotson; Geoffrey Tillotson,
A5043804642,Rachel McCulloch,R. D. McCulloch; R.D McCulloch; Rachel Mc‐Culloch; R.D.AFFILIATION Oak Ridge McCulloch; Rachel Mcculloch,
A5084641326,Bong H. Lian,Bong Hor Lian; Bong H. Lian; Bong Lian; B. H. Lian; B. Lian,
A5103345101,Stanford Moore,Stanford. Moore; S.A. Moore,
A5110147225,Sidney Golden,S. Golden; S. van Golden; Sidney. Golden,
A5059114745,R. Trappitsch,R. Trappitsch; Reto Georg Trappitsch; Reto Trappitsch; R G Trappitsch,https://orcid.org/0000-0002-0924-236X
A5010133074,Carol L. Osler,Carol L. Osler; C. Osler; C. L. Osler; Carol Osler,https://orcid.org/0000-0003-0210-9512
A5107883915,L. J. Bergsten,Laura Jean Bergsten; L. J. Bergsten,
A5014766150,Jennifer Anna Gosetti‐Ferencei,Jennifer Anna Gosetti‐Ferencei; Jennifer Gosetti‐Ferencei; J. A. Gosetti‐Ferencei,https://orcid.org/0000-0003-3150-7106
A5019807285,Alex Willett,A. Willett; A.L. Willett; Alex Willett,https://orcid.org/0000-0002-8901-3494
A5044836448,David G. Gil,David Guillén Gil; David Gil; D Gil; David G. Gil,
A5107946122,Aleksey Soloshenko,Aleksey Soloshenko; A. Soloshenko,
A5111829918,Jerome Levine,Jerome P. Levine; J. Levine; J. P. Levine; Jerome Levine,
A5070472954,A. P. Krueger,Anja Krueger; August Krueger; A. P. Krueger; A. Krueger,https://orcid.org/0000-0003-0227-8674
A5012321109,Bin Huang,B Huang; H Bin; Bin Huang; Huang Yan Bin; Huang Bin,https://orcid.org/0000-0002-0056-1794
A5066188616,Richard W. Redman,Richard Redman; Richard W. Redman; R. W. Redman; R Redman,
A5074314620,William B. Stason,William Stason; W. B. Stason; William B. Stason; W. Stason,
A5113767146,Phyllis R. Silverman,Phyllis R. Silverman; P. R. Silverman; Phyllis Silverman; P. Silverman; Phyllis Rolfe Silverman,
A5082722086,S. Dhaliwal,S. Dhaliwal,
